"sex" "age" "period" "region" "outcome" "cases" "pop"
"963" 1 2 1 9 "Incidence" 4 14530
"964" 2 2 1 9 "Incidence" 4 13337
"965" 1 3 1 9 "Incidence" 5 13995
"966" 2 3 1 9 "Incidence" 4 14129
"967" 1 4 1 9 "Incidence" 8 14619
"968" 2 4 1 9 "Incidence" 4 15755
"969" 1 5 1 9 "Incidence" 8 8385
"970" 2 5 1 9 "Incidence" 5 11387
"971" 1 6 1 9 "Incidence" 4 3114
"972" 2 6 1 9 "Incidence" 4 5660
"973" 1 1 2 9 "Incidence" 16 68022
"974" 2 1 2 9 "Incidence" 19 64778
"975" 1 2 2 9 "Incidence" 5 15116
"976" 2 2 2 9 "Incidence" 4 13711
"977" 1 3 2 9 "Incidence" 6 13292
"978" 2 3 2 9 "Incidence" 4 13387
"979" 1 4 2 9 "Incidence" 8 14994
"980" 2 4 2 9 "Incidence" 8 16014
"981" 1 5 2 9 "Incidence" 6 8832
"982" 2 5 2 9 "Incidence" 6 11886
"983" 1 6 2 9 "Incidence" 4 3391
"984" 2 6 2 9 "Incidence" 4 6160
"985" 1 1 3 9 "Incidence" 18 66984
"986" 2 1 3 9 "Incidence" 17 63912
"987" 1 2 3 9 "Incidence" 4 15569
"988" 2 2 3 9 "Incidence" 4 14113
"989" 1 3 3 9 "Incidence" 5 13271
"990" 2 3 3 9 "Incidence" 5 13066
"991" 1 4 3 9 "Incidence" 7 14769
"992" 2 4 3 9 "Incidence" 7 15778
"993" 1 5 3 9 "Incidence" 5 9657
"994" 2 5 3 9 "Incidence" 4 12617
"995" 1 6 3 9 "Incidence" 5 3651
"996" 2 6 3 9 "Incidence" 4 6788
"997" 1 1 4 9 "Incidence" 18 65946
"998" 2 1 4 9 "Incidence" 17 63046
"999" 1 2 4 9 "Incidence" 6 16022
"1000" 2 2 4 9 "Incidence" 6 14515
"1001" 1 3 4 9 "Incidence" 4 13250
"1002" 2 3 4 9 "Incidence" 4 12745
"1003" 1 4 4 9 "Incidence" 8 14544
"1004" 2 4 4 9 "Incidence" 5 15542
"1005" 1 5 4 9 "Incidence" 8 10482
"1006" 2 5 4 9 "Incidence" 4 13348
"1007" 1 6 4 9 "Incidence" 4 3911
"1008" 2 6 4 9 "Incidence" 5 7416
"1081" 1 1 1 10 "Incidence" 17 40620
"1082" 2 1 1 10 "Incidence" 17 35582
"1083" 1 2 1 10 "Incidence" 6 8822
"1084" 2 2 1 10 "Incidence" 5 7061
"1085" 1 3 1 10 "Incidence" 5 8575
"1086" 2 3 1 10 "Incidence" 6 7276
"1087" 1 4 1 10 "Incidence" 6 8122
"1088" 2 4 1 10 "Incidence" 5 7748
"1089" 1 5 1 10 "Incidence" 8 4710
"1090" 2 5 1 10 "Incidence" 5 5700
"1091" 1 6 1 10 "Incidence" 4 1939
"1092" 2 6 1 10 "Incidence" 5 3176
"1093" 1 1 2 10 "Incidence" 16 39291
"1094" 2 1 2 10 "Incidence" 17 34405
"1095" 1 2 2 10 "Incidence" 4 9118
"1096" 2 2 2 10 "Incidence" 4 7302
"1097" 1 3 2 10 "Incidence" 7 8189
"1098" 2 3 2 10 "Incidence" 6 6912
"1099" 1 4 2 10 "Incidence" 5 8406
