"sex" "age" "period" "region" "outcome" "cases" "pop"
"645" 1 5 4 6 "Deaths" 12 19876
"646" 2 5 4 6 "Deaths" 10 31213
"647" 1 6 4 6 "Deaths" 5 7509
"648" 2 6 4 6 "Deaths" 7 18946
"649" 1 1 5 6 "Deaths" 19 203617
"650" 2 1 5 6 "Deaths" 17 196414
"651" 1 2 5 6 "Deaths" 5 53696
"652" 2 2 5 6 "Deaths" 6 55961
"653" 1 3 5 6 "Deaths" 12 45066
"654" 2 3 5 6 "Deaths" 6 47522
"655" 1 4 5 6 "Deaths" 14 37052
"656" 2 4 5 6 "Deaths" 10 43074
"657" 1 5 5 6 "Deaths" 11 21911
"658" 2 5 5 6 "Deaths" 11 33101
"659" 1 6 5 6 "Deaths" 5 8022
"660" 2 6 5 6 "Deaths" 6 20260
"661" 1 1 6 6 "Deaths" 17 198183
"662" 2 1 6 6 "Deaths" 17 189988
"663" 1 2 6 6 "Deaths" 8 54684
"664" 2 2 6 6 "Deaths" 6 57065
"665" 1 3 6 6 "Deaths" 8 47578
"666" 2 3 6 6 "Deaths" 11 50308
"667" 1 4 6 6 "Deaths" 9 36672
"668" 2 4 6 6 "Deaths" 10 42448
"669" 1 5 6 6 "Deaths" 8 24021
"670" 2 5 6 6 "Deaths" 10 34987
"671" 1 6 6 6 "Deaths" 5 8500
"672" 2 6 6 6 "Deaths" 9 21478
"673" 1 1 7 6 "Deaths" 16 193374
"674" 2 1 7 6 "Deaths" 17 184444
"675" 1 2 7 6 "Deaths" 4 55925
"676" 2 2 7 6 "Deaths" 6 58299
"677" 1 3 7 6 "Deaths" 12 49681
"678" 2 3 7 6 "Deaths" 9 52665
"679" 1 4 7 6 "Deaths" 17 36665
"680" 2 4 7 6 "Deaths" 10 42172
"681" 1 5 7 6 "Deaths" 8 25952
"682" 2 5 7 6 "Deaths" 13 36731
"683" 1 6 7 6 "Deaths" 6 9180
"684" 2 6 7 6 "Deaths" 11 22899
"721" 1 1 1 7 "Deaths" 18 167574
"722" 2 1 1 7 "Deaths" 17 163326
"723" 1 2 1 7 "Deaths" 6 37767
"724" 2 2 1 7 "Deaths" 4 35448
"725" 1 3 1 7 "Deaths" 5 31619
"726" 2 3 1 7 "Deaths" 6 29258
"727" 1 4 1 7 "Deaths" 9 21956
"728" 2 4 1 7 "Deaths" 11 23854
"729" 1 5 1 7 "Deaths" 7 11273
"730" 2 5 1 7 "Deaths" 6 15877
"731" 1 6 1 7 "Deaths" 6 4410
"732" 2 6 1 7 "Deaths" 8 8426
"733" 1 1 2 7 "Deaths" 19 164767
"734" 2 1 2 7 "Deaths" 20 160918
"735" 1 2 2 7 "Deaths" 6 39288
"736" 2 2 2 7 "Deaths" 4 37391
"737" 1 3 2 7 "Deaths" 5 31843
"738" 2 3 2 7 "Deaths" 5 29393
"739" 1 4 2 7 "Deaths" 6 23787
"740" 2 4 2 7 "Deaths" 7 25305
"741" 1 5 2 7 "Deaths" 6 11871
"742" 2 5 2 7 "Deaths" 6 16658
"743" 1 6 2 7 "Deaths" 5 4922
"744" 2 6 2 7 "Deaths" 5 9385
"745" 1 1 3 7 "Deaths" 18 162288
"746" 2 1 3 7 "Deaths" 17 158577
